StartStation Name,Aantal Ritten,EndStation Name,Aantal Ritten,StartStation Name,EndStation Name,Aantal Ritten,StartStation Name,EndStation Name,Aantal Ritten
"Belgrove Street , King's Cross",84524,"Belgrove Street , King's Cross",83659,"Aquatic Centre, Queen Elizabeth Olympic Park","Aquatic Centre, Queen Elizabeth Olympic Park",17413,"Black Lion Gate, Kensington Gardens","Palace Gate, Kensington Gardens",4101
"Waterloo Station 3, Waterloo",77995,"Waterloo Station 3, Waterloo",74814,"Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park",16898,"Hyde Park Corner, Hyde Park","Albert Gate, Hyde Park",3759
"Hyde Park Corner, Hyde Park",71554,"Hyde Park Corner, Hyde Park",72023,"Albert Gate, Hyde Park","Albert Gate, Hyde Park",11903,"Hyde Park Corner, Hyde Park","Serpentine Car Park, Hyde Park",3673
"Waterloo Station 1, Waterloo",65941,"Hop Exchange, The Borough",63740,"Black Lion Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens",10145,"Albert Gate, Hyde Park","Hyde Park Corner, Hyde Park",3550
"Albert Gate, Hyde Park",54974,"Waterloo Station 1, Waterloo",62425,"Park Lane , Hyde Park","Park Lane , Hyde Park",8307,"Aquatic Centre, Queen Elizabeth Olympic Park","Monier Road, Hackney Wick",3491
"Black Lion Gate, Kensington Gardens",53976,"Albert Gate, Hyde Park",55465,"Triangle Car Park, Hyde Park","Triangle Car Park, Hyde Park",7478,"Palace Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens",3425
"Hop Exchange, The Borough",46628,"Black Lion Gate, Kensington Gardens",53865,"Podium, Queen Elizabeth Olympic Park","Podium, Queen Elizabeth Olympic Park",5856,"Black Lion Gate, Kensington Gardens","Hyde Park Corner, Hyde Park",3381
"Wellington Arch, Hyde Park",46094,"Holborn Circus, Holborn",53222,"Palace Gate, Kensington Gardens","Palace Gate, Kensington Gardens",5501,"Serpentine Car Park, Hyde Park","Hyde Park Corner, Hyde Park",3214
"Wormwood Street, Liverpool Street",45463,"Brushfield Street, Liverpool Street",51839,"Serpentine Car Park, Hyde Park","Serpentine Car Park, Hyde Park",4563,"Parsons Green Station, Parsons Green","St. Peter's Terrace, Fulham",3133
"Duke Street Hill, London Bridge",42760,"Wormwood Street, Liverpool Street",47936,"Wellington Arch, Hyde Park","Wellington Arch, Hyde Park",4481,"Hyde Park Corner, Hyde Park","Black Lion Gate, Kensington Gardens",3099
